pygame 2.6.1 (SDL 2.28.4, Python 3.13.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
Iteration 378/1000 - Best score = 0.2551
Iteration 379/1000 - Best score = 0.2551
Iteration 380/1000 - Best score = 0.2551
Iteration 381/1000 - Best score = 0.2551
Iteration 382/1000 - Best score = 0.2551
Iteration 383/1000 - Best score = 0.2551
Iteration 384/1000 - Best score = 0.2731
Iteration 385/1000 - Best score = 0.2731
Iteration 386/1000 - Best score = 0.2731
Iteration 387/1000 - Best score = 0.2731
Iteration 388/1000 - Best score = 0.3051
Iteration 389/1000 - Best score = 0.3051
Iteration 390/1000 - Best score = 0.3051
Iteration 391/1000 - Best score = 0.3051
Iteration 392/1000 - Best score = 0.3051
Iteration 393/1000 - Best score = 0.3051
Iteration 394/1000 - Best score = 0.3051
Iteration 395/1000 - Best score = 0.3683
Iteration 396/1000 - Best score = 0.3683
Iteration 397/1000 - Best score = 0.4021
Iteration 398/1000 - Best score = 0.8830
Iteration 399/1000 - Best score = 0.8830
Iteration 400/1000 - Best score = 0.8830
Iteration 401/1000 - Best score = 0.8830
Iteration 402/1000 - Best score = 0.8830
Iteration 403/1000 - Best score = 0.8830
Iteration 404/1000 - Best score = 0.8830
Iteration 405/1000 - Best score = 0.8830
Iteration 406/1000 - Best score = 0.8830
Iteration 407/1000 - Best score = 0.8830
Iteration 408/1000 - Best score = 0.8830
Iteration 409/1000 - Best score = 0.8830
Iteration 410/1000 - Best score = 0.8830
Iteration 411/1000 - Best score = 0.8830
Iteration 412/1000 - Best score = 0.8830
Iteration 413/1000 - Best score = 0.8830
Iteration 414/1000 - Best score = 0.8830
Iteration 415/1000 - Best score = 0.8830
Iteration 416/1000 - Best score = 0.8830
Iteration 417/1000 - Best score = 0.8830
Iteration 418/1000 - Best score = 0.9600
Iteration 419/1000 - Best score = 0.9600
Iteration 420/1000 - Best score = 0.9600
Iteration 421/1000 - Best score = 0.9600
Iteration 422/1000 - Best score = 0.9600
Iteration 423/1000 - Best score = 0.9600
Iteration 424/1000 - Best score = 0.9600
Iteration 425/1000 - Best score = 0.9600
Iteration 426/1000 - Best score = 0.9600
Iteration 427/1000 - Best score = 0.9600
Iteration 428/1000 - Best score = 0.9600
Iteration 429/1000 - Best score = 0.9600
Iteration 430/1000 - Best score = 0.9600
Iteration 431/1000 - Best score = 0.9600
Iteration 432/1000 - Best score = 0.9600
Iteration 433/1000 - Best score = 0.9600
Iteration 434/1000 - Best score = 0.9600
Iteration 435/1000 - Best score = 0.9600
Iteration 436/1000 - Best score = 0.9600
Iteration 437/1000 - Best score = 0.9600
Iteration 438/1000 - Best score = 0.9600
Iteration 439/1000 - Best score = 0.9600
Iteration 440/1000 - Best score = 0.9600
Iteration 441/1000 - Best score = 0.9600
Iteration 442/1000 - Best score = 0.9600
Iteration 443/1000 - Best score = 0.9600
Iteration 444/1000 - Best score = 0.9600
Iteration 445/1000 - Best score = 0.9600
Iteration 446/1000 - Best score = 0.9600
Iteration 447/1000 - Best score = 0.9600
Iteration 448/1000 - Best score = 0.9600
Iteration 449/1000 - Best score = 0.9600
Iteration 450/1000 - Best score = 0.9600
Iteration 451/1000 - Best score = 0.9600
Iteration 452/1000 - Best score = 0.9600
Iteration 453/1000 - Best score = 0.9600
Iteration 454/1000 - Best score = 0.9600
Iteration 455/1000 - Best score = 0.9600
Iteration 456/1000 - Best score = 0.9600
Iteration 457/1000 - Best score = 0.9600
Iteration 458/1000 - Best score = 0.9600
Iteration 459/1000 - Best score = 0.9600
Iteration 460/1000 - Best score = 0.9600
Iteration 461/1000 - Best score = 0.9600
Iteration 462/1000 - Best score = 0.9600
Iteration 463/1000 - Best score = 0.9600
Iteration 464/1000 - Best score = 0.9600
Iteration 465/1000 - Best score = 0.9600
Iteration 466/1000 - Best score = 0.9600
Iteration 467/1000 - Best score = 0.9600
Iteration 468/1000 - Best score = 0.9600
Iteration 469/1000 - Best score = 0.9600
Iteration 470/1000 - Best score = 0.9600
Iteration 471/1000 - Best score = 0.9600
Iteration 472/1000 - Best score = 0.9600
Iteration 473/1000 - Best score = 0.9600
Iteration 474/1000 - Best score = 0.9600
Iteration 475/1000 - Best score = 0.9600
Iteration 476/1000 - Best score = 0.9600
Iteration 458/1000 - Best score = 0.9600
Iteration 459/1000 - Best score = 0.9600
Iteration 460/1000 - Best score = 0.9600
Iteration 461/1000 - Best score = 0.9600
Iteration 462/1000 - Best score = 0.9600
Iteration 463/1000 - Best score = 0.9600
Iteration 464/1000 - Best score = 0.9600
Iteration 465/1000 - Best score = 0.9600
Iteration 466/1000 - Best score = 0.9600
Iteration 467/1000 - Best score = 0.9600
Iteration 468/1000 - Best score = 0.9600
Iteration 469/1000 - Best score = 0.9600
Iteration 470/1000 - Best score = 0.9600
Iteration 471/1000 - Best score = 0.9600
Iteration 472/1000 - Best score = 0.9600
Iteration 473/1000 - Best score = 0.9600
Iteration 474/1000 - Best score = 0.9600
Iteration 475/1000 - Best score = 0.9600
Iteration 476/1000 - Best score = 0.9600
Iteration 459/1000 - Best score = 0.9600
Iteration 460/1000 - Best score = 0.9600
Iteration 461/1000 - Best score = 0.9600
Iteration 462/1000 - Best score = 0.9600
Iteration 463/1000 - Best score = 0.9600
Iteration 464/1000 - Best score = 0.9600
Iteration 465/1000 - Best score = 0.9600
Iteration 466/1000 - Best score = 0.9600
Iteration 467/1000 - Best score = 0.9600
Iteration 468/1000 - Best score = 0.9600
Iteration 469/1000 - Best score = 0.9600
Iteration 470/1000 - Best score = 0.9600
Iteration 471/1000 - Best score = 0.9600
Iteration 472/1000 - Best score = 0.9600
Iteration 473/1000 - Best score = 0.9600
Iteration 474/1000 - Best score = 0.9600
Iteration 475/1000 - Best score = 0.9600
Iteration 476/1000 - Best score = 0.9600
Iteration 462/1000 - Best score = 0.9600
Iteration 463/1000 - Best score = 0.9600
Iteration 464/1000 - Best score = 0.9600
Iteration 465/1000 - Best score = 0.9600
Iteration 466/1000 - Best score = 0.9600
Iteration 467/1000 - Best score = 0.9600
Iteration 468/1000 - Best score = 0.9600
Iteration 469/1000 - Best score = 0.9600
Iteration 470/1000 - Best score = 0.9600
Iteration 471/1000 - Best score = 0.9600
Iteration 472/1000 - Best score = 0.9600
Iteration 473/1000 - Best score = 0.9600
Iteration 474/1000 - Best score = 0.9600
Iteration 475/1000 - Best score = 0.9600
Iteration 476/1000 - Best score = 0.9600
Iteration 477/1000 - Best score = 0.9600
Iteration 478/1000 - Best score = 0.9600
Iteration 479/1000 - Best score = 0.9600
Iteration 464/1000 - Best score = 0.9600
Iteration 465/1000 - Best score = 0.9600
Iteration 466/1000 - Best score = 0.9600
Iteration 467/1000 - Best score = 0.9600
Iteration 468/1000 - Best score = 0.9600
Iteration 469/1000 - Best score = 0.9600
Iteration 470/1000 - Best score = 0.9600
Iteration 471/1000 - Best score = 0.9600
Iteration 472/1000 - Best score = 0.9600
Iteration 473/1000 - Best score = 0.9600
Iteration 474/1000 - Best score = 0.9600
Iteration 475/1000 - Best score = 0.9600
Iteration 476/1000 - Best score = 0.9600
Iteration 477/1000 - Best score = 0.9600
Iteration 478/1000 - Best score = 0.9600
Iteration 479/1000 - Best score = 0.9600
Iteration 467/1000 - Best score = 0.9600
Iteration 468/1000 - Best score = 0.9600
Iteration 469/1000 - Best score = 0.9600
Iteration 470/1000 - Best score = 0.9600
Iteration 471/1000 - Best score = 0.9600
Iteration 472/1000 - Best score = 0.9600
Iteration 473/1000 - Best score = 0.9600
Iteration 474/1000 - Best score = 0.9600
Iteration 475/1000 - Best score = 0.9600
Iteration 476/1000 - Best score = 0.9600
Iteration 477/1000 - Best score = 0.9600
Iteration 478/1000 - Best score = 0.9600
Iteration 479/1000 - Best score = 0.9600
Iteration 469/1000 - Best score = 0.9600
Iteration 470/1000 - Best score = 0.9600
Iteration 471/1000 - Best score = 0.9600
Iteration 472/1000 - Best score = 0.9600
Iteration 473/1000 - Best score = 0.9600
Iteration 474/1000 - Best score = 0.9600
Iteration 475/1000 - Best score = 0.9600
Iteration 476/1000 - Best score = 0.9600
Iteration 477/1000 - Best score = 0.9600
Iteration 478/1000 - Best score = 0.9600
Iteration 479/1000 - Best score = 0.9600
Iteration 472/1000 - Best score = 0.9600
Iteration 473/1000 - Best score = 0.9600
Iteration 474/1000 - Best score = 0.9600
Iteration 475/1000 - Best score = 0.9600
Iteration 476/1000 - Best score = 0.9600
Iteration 477/1000 - Best score = 0.9600
Iteration 478/1000 - Best score = 0.9600
Iteration 479/1000 - Best score = 0.9600
Iteration 480/1000 - Best score = 0.9600
Iteration 481/1000 - Best score = 0.9600
Iteration 482/1000 - Best score = 0.9600
Iteration 474/1000 - Best score = 0.9600
Iteration 475/1000 - Best score = 0.9600
Iteration 476/1000 - Best score = 0.9600
Iteration 477/1000 - Best score = 0.9600
Iteration 478/1000 - Best score = 0.9600
Iteration 479/1000 - Best score = 0.9600
Iteration 480/1000 - Best score = 0.9600
Iteration 481/1000 - Best score = 0.9600
Iteration 482/1000 - Best score = 0.9600
Iteration 477/1000 - Best score = 0.9600
Iteration 478/1000 - Best score = 0.9600
Iteration 479/1000 - Best score = 0.9600
Iteration 480/1000 - Best score = 0.9600
Iteration 481/1000 - Best score = 0.9600
Iteration 482/1000 - Best score = 0.9600
Iteration 483/1000 - Best score = 0.9600
Iteration 484/1000 - Best score = 0.9600
Iteration 480/1000 - Best score = 0.9600
Iteration 481/1000 - Best score = 0.9600
Iteration 482/1000 - Best score = 0.9600
Iteration 483/1000 - Best score = 0.9600
Iteration 484/1000 - Best score = 0.9600
Iteration 483/1000 - Best score = 0.9600
Iteration 484/1000 - Best score = 0.9600
Iteration 485/1000 - Best score = 0.9600
Iteration 485/1000 - Best score = 0.9600
Iteration 486/1000 - Best score = 0.9600
Iteration 486/1000 - Best score = 0.9600
Iteration 487/1000 - Best score = 0.9600
Iteration 488/1000 - Best score = 0.9600
Iteration 488/1000 - Best score = 0.9600
Iteration 489/1000 - Best score = 0.9600
Iteration 489/1000 - Best score = 0.9600
Iteration 490/1000 - Best score = 0.9600
Iteration 490/1000 - Best score = 0.9600
Iteration 491/1000 - Best score = 0.9600
Iteration 491/1000 - Best score = 0.9600
Iteration 492/1000 - Best score = 0.9600
Iteration 493/1000 - Best score = 0.9600
Iteration 494/1000 - Best score = 0.9600
Iteration 495/1000 - Best score = 0.9600
Iteration 496/1000 - Best score = 0.9600
Iteration 497/1000 - Best score = 0.9600
Iteration 498/1000 - Best score = 0.9600
Iteration 499/1000 - Best score = 0.9600
Iteration 500/1000 - Best score = 0.9600
Iteration 501/1000 - Best score = 0.9600
Iteration 502/1000 - Best score = 0.9600
Iteration 503/1000 - Best score = 0.9600
Iteration 504/1000 - Best score = 0.9600
Iteration 505/1000 - Best score = 0.9600
Iteration 506/1000 - Best score = 0.9600
Iteration 507/1000 - Best score = 0.9600
Iteration 508/1000 - Best score = 0.9600
Iteration 509/1000 - Best score = 0.9600
Iteration 510/1000 - Best score = 0.9600
Iteration 511/1000 - Best score = 0.9600
Iteration 512/1000 - Best score = 0.9600
Iteration 513/1000 - Best score = 0.9600
Iteration 514/1000 - Best score = 0.9600
Iteration 515/1000 - Best score = 0.9600
Iteration 516/1000 - Best score = 0.9600
Iteration 517/1000 - Best score = 0.9600
Iteration 518/1000 - Best score = 0.9600
Iteration 519/1000 - Best score = 0.9600
Iteration 520/1000 - Best score = 0.9600
Iteration 521/1000 - Best score = 0.9600
Iteration 522/1000 - Best score = 0.9600
Iteration 523/1000 - Best score = 0.9600
Iteration 524/1000 - Best score = 0.9600
Iteration 525/1000 - Best score = 0.9600
Iteration 526/1000 - Best score = 0.9600
Iteration 527/1000 - Best score = 0.9600
